retrofit,heating_system,baseline_heating_btu,post_retrofit_btu,intensity_reduction_pct,retrofit_cost,hp_cost,total_capital,retrofit_annual,hp_annual_capital,annual_op_cost,total_annual_cost,annual_emissions_kg,annual_emissions_tons,household_id,envelope_class,hdd,heated_sqft,scenario_id
Attic Insulation,Cold Climate Heat Pump,71375.56299999956,60669.22854999963,15.0,4050.0,18000.0,22050.0,263.4583120751201,1734.1611769663978,0.6667925177681671,1998.2862815592862,1.8670190497508676,0.0018670190497508676,101160,medium,2047,2700,attic_insulation_cold_climate_hp
No Retrofit,Gas Furnace,18988.78799999991,18988.78799999991,0.0,0.0,0.0,0.0,0.0,0.0,0.2848318199999986,0.2848318199999986,1.2580072049999937,0.0012580072049999938,110110,medium,1110,840,none_none
No Retrofit,Standard Heat Pump,18988.78799999991,18988.78799999991,0.0,0.0,12000.0,12000.0,0.0,1156.1074513109318,0.23851266119577844,1156.3459639721275,0.6678354513481797,0.0006678354513481797,110110,medium,1110,840,none_standard_hp
No Retrofit,Cold Climate Heat Pump,18988.78799999991,18988.78799999991,0.0,0.0,18000.0,18000.0,0.0,1734.1611769663978,0.20869857854630613,1734.369875544944,0.5843560199296571,0.0005843560199296572,110110,medium,1110,840,none_cold_climate_hp
Air Sealing,Gas Furnace,18988.78799999991,17089.90919999992,10.0,420.0,0.0,420.0,33.70188662009034,0.0,0.25634863799999874,33.95823525809034,1.1322064844999944,0.0011322064844999943,110110,medium,1110,840,air_seal_none
Air Sealing,Standard Heat Pump,18988.78799999991,17089.90919999992,10.0,420.0,12000.0,12420.0,33.70188662009034,1156.1074513109318,0.2146613950762006,1190.0239993260984,0.6010519062133617,0.0006010519062133616,110110,medium,1110,840,air_seal_standard_hp
Air Sealing,Cold Climate Heat Pump,18988.78799999991,17089.90919999992,10.0,420.0,18000.0,18420.0,33.70188662009034,1734.1611769663978,0.18782872069167553,1768.0508923071798,0.5259204179366914,0.0005259204179366915,110110,medium,1110,840,air_seal_cold_climate_hp
Attic Insulation,Gas Furnace,18988.78799999991,16140.46979999992,15.0,1260.0,0.0,1260.0,81.96480820114847,0.0,0.24210704699999877,82.20691524814848,1.0693061242499946,0.0010693061242499945,110110,medium,1110,840,attic_insulation_none
Attic Insulation,Standard Heat Pump,18988.78799999991,16140.46979999992,15.0,1260.0,12000.0,13260.0,81.96480820114847,1156.1074513109318,0.20273576201641166,1238.2749952740967,0.5676601336459526,0.0005676601336459526,110110,medium,1110,840,attic_insulation_standard_hp
Attic Insulation,Cold Climate Heat Pump,18988.78799999991,16140.46979999992,15.0,1260.0,18000.0,19260.0,81.96480820114847,1734.1611769663978,0.1773937917643602,1816.3033789593107,0.49670261694020856,0.0004967026169402086,110110,medium,1110,840,attic_insulation_cold_climate_hp
No Retrofit,Gas Furnace,25258.001999999946,25258.001999999946,0.0,0.0,0.0,0.0,0.0,0.0,0.37887002999999914,0.37887002999999914,1.673342632499996,0.0016733426324999961,115145,medium,1246,1530,none_none
No Retrofit,Standard Heat Pump,25258.001999999946,25258.001999999946,0.0,0.0,12000.0,12000.0,0.0,1156.1074513109318,0.3172584407971857,1156.4247097517289,0.8883236342321199,0.00088832363423212,115145,medium,1246,1530,none_standard_hp
No Retrofit,Cold Climate Heat Pump,25258.001999999946,25258.001999999946,0.0,0.0,18000.0,18000.0,0.0,1734.1611769663978,0.2776011356975375,1734.4387781020953,0.777283179953105,0.0007772831799531051,115145,medium,1246,1530,none_cold_climate_hp
Air Sealing,Gas Furnace,25258.001999999946,22732.20179999995,10.0,765.0,0.0,765.0,61.38557920087884,0.0,0.3409830269999993,61.72656222787884,1.5060083692499968,0.0015060083692499968,115145,medium,1246,1530,air_seal_none
Air Sealing,Standard Heat Pump,25258.001999999946,22732.20179999995,10.0,765.0,12000.0,12765.0,61.38557920087884,1156.1074513109318,0.28553259671746717,1217.778563108528,0.799491270808908,0.000799491270808908,115145,medium,1246,1530,air_seal_standard_hp
Air Sealing,Cold Climate Heat Pump,25258.001999999946,22732.20179999995,10.0,765.0,18000.0,18765.0,61.38557920087884,1734.1611769663978,0.24984102212778375,1795.7965971894043,0.6995548619577946,0.0006995548619577945,115145,medium,1246,1530,air_seal_cold_climate_hp
Attic Insulation,Gas Furnace,25258.001999999946,21469.301699999953,15.0,2295.0,0.0,2295.0,149.29304350923474,0.0,0.32203952549999926,149.61508303473474,1.4223412376249969,0.0014223412376249969,115145,medium,1246,1530,attic_insulation_none
Attic Insulation,Standard Heat Pump,25258.001999999946,21469.301699999953,15.0,2295.0,12000.0,14295.0,149.29304350923474,1156.1074513109318,0.26966967467760783,1305.670164494844,0.7550750890973019,0.0007550750890973019,115145,medium,1246,1530,attic_insulation_standard_hp
Attic Insulation,Cold Climate Heat Pump,25258.001999999946,21469.301699999953,15.0,2295.0,18000.0,20295.0,149.29304350923474,1734.1611769663978,0.23596096534290686,1883.6901814409755,0.6606907029601392,0.0006606907029601392,115145,medium,1246,1530,attic_insulation_cold_climate_hp
No Retrofit,Gas Furnace,36006.50199999993,36006.50199999993,0.0,0.0,0.0,0.0,0.0,0.0,0.5400975299999988,0.5400975299999988,2.385430757499995,0.002385430757499995,111574,poor,5255,1200,none_none
No Retrofit,Standard Heat Pump,36006.50199999993,36006.50199999993,0.0,0.0,12000.0,12000.0,0.0,1156.1074513109318,0.6672013979051175,1156.7746527088368,1.8681639141343287,0.0018681639141343287,111574,poor,5255,1200,none_standard_hp
No Retrofit,Cold Climate Heat Pump,36006.50199999993,36006.50199999993,0.0,0.0,18000.0,18000.0,0.0,1734.1611769663978,0.5510653843446096,1734.7122423507424,1.5429830761649068,0.0015429830761649068,111574,poor,5255,1200,none_cold_climate_hp
Air Sealing,Gas Furnace,36006.50199999993,32405.85179999993,10.0,600.0,0.0,600.0,48.14555231441477,0.0,0.48608777699999894,48.63164009141477,2.146887681749995,0.002146887681749995,111574,poor,5255,1200,air_seal_none
Air Sealing,Standard Heat Pump,36006.50199999993,32405.85179999993,10.0,600.0,12000.0,12600.0,48.14555231441477,1156.1074513109318,0.6004812581146056,1204.853484883461,1.6813475227208958,0.0016813475227208958,111574,poor,5255,1200,air_seal_standard_hp
Air Sealing,Cold Climate Heat Pump,36006.50199999993,32405.85179999993,10.0,600.0,18000.0,18600.0,48.14555231441477,1734.1611769663978,0.4959588459101486,1782.8026881267226,1.3886847685484163,0.0013886847685484164,111574,poor,5255,1200,air_seal_cold_climate_hp
Attic Insulation,Gas Furnace,36006.50199999993,30605.526699999933,15.0,1800.0,0.0,1800.0,117.09258314449782,0.0,0.4590829004999989,117.55166604499782,2.027616143874995,0.002027616143874995,111574,poor,5255,1200,attic_insulation_none
